,Date,Type,Team,Conf.,Opp.,Venue,Win,Points_For,Points_Against,Point_Differential,Season,Opp_Conf
6748,2014-12-06,N,Vermont,AE,Harvard,Home,False,64,52,12,2014-15,Ivy
6749,2014-12-06,N,Georgia Tech,ACC,USC Upstate,Home,False,59,54,5,2014-15,ASun
32881,2022-11-16,N,Siena,MAAC,Army,Home,False,96,94,2,2022-23,Pat
6750,2014-12-06,N,Southern Miss,CUSA,Rhode Island,Home,False,75,43,32,2014-15,A10
33949,2022-11-26,N,Drake,MVC,Louisiana,Home,True,76,64,12,2022-23,SB
33948,2022-11-26,N,Texas,B12,UT Rio Grande Valley,Home,True,91,54,37,2022-23,WAC
33946,2022-11-26,N,Northern Iowa,MVC,Northern Illinois,Home,True,83,76,7,2022-23,MAC
32455,2022-11-11,N,Cal St. Fullerton,BW,Pepperdine,Home,True,74,71,3,2022-23,WCC
32888,2022-11-16,N,Kent St.,MAC,Arkansas Pine Bluff,Home,True,94,68,26,2022-23,SWAC
6754,2014-12-06,N,San Jose St.,MWC,Santa Clara,Home,False,61,50,11,2014-15,WCC
7361,2014-12-17,N,Washington,P12,Grambling St.,Home,True,86,38,48,2014-15,SWAC
6755,2014-12-06,N,Texas A&M Corpus Chr,Slnd,Denver,Home,False,64,48,16,2014-15,Sum
32454,2022-11-11,N,Hawaii,BW,Mississippi Valley S,Home,True,72,54,18,2022-23,SWAC
7113,2014-12-13,N,East Carolina,Amer,James Madison,Home,True,70,58,12,2014-15,CAA
6769,2014-12-07,N,North Carolina,ACC,East Carolina,Home,True,108,64,44,2014-15,Amer
7359,2014-12-17,N,Oregon,P12,Cal St. Northridge,Home,True,79,56,23,2014-15,BW
6778,2014-12-07,N,DePaul,BE,Milwaukee,Home,True,83,61,22,2014-15,Horz
33929,2022-11-26,N,Western Kentucky,CUSA,South Carolina St.,Home,True,90,64,26,2022-23,MEAC
32490,2022-11-11,N,Texas A&M Corpus Chr,Slnd,UTSA,Home,True,75,55,20,2022-23,CUSA
32876,2022-11-16,N,Tulane,Amer,Charleston Southern,Home,True,99,79,20,2022-23,BSth
32491,2022-11-11,N,TCU,B12,Lamar,Home,True,77,66,11,2022-23,Slnd
8225,2014-12-30,N,Georgia Tech,ACC,Charlotte,Home,True,67,66,1,2014-15,CUSA
32875,2022-11-16,N,Tennessee,SEC,Florida Gulf Coast,Home,True,81,50,31,2022-23,ASun
7355,2014-12-17,N,Northwestern,B10,Central Michigan,Home,False,80,67,13,2014-15,MAC
32500,2022-11-11,N,Cal Baptist,WAC,NJIT,Home,True,59,43,16,2022-23,AE
6780,2014-12-07,N,Clemson,ACC,Arkansas,Home,True,68,65,3,2014-15,SEC
